Time,Views,Count,Minute
17:11:00,2492365,55448,315
17:12:00,2492365,0,316
17:13:00,2492365,0,317
17:14:00,2492365,0,318
17:15:00,2492365,0,319
17:16:00,2515188,22823,320
17:17:00,2515188,0,321
17:18:00,2515188,0,322
17:19:00,2515188,0,323
17:20:00,2515188,0,324
17:21:00,2568054,52866,325
17:22:00,2568054,0,326
17:23:00,2568054,0,327
17:24:00,2568054,0,328
17:25:00,2568054,0,329
17:26:00,2592247,24193,330
17:27:00,2592247,0,331
17:28:00,2592247,0,332
17:29:00,2592247,0,333
17:30:00,2592247,0,334
17:31:00,2640181,47934,335
17:32:00,2640181,0,336
17:33:00,2640181,0,337
17:34:00,2640181,0,338
17:35:00,2640181,0,339
17:36:00,2667271,27090,340
17:37:00,2667271,0,341
17:38:00,2667271,0,342
17:39:00,2667271,0,343
17:40:00,2667271,0,344
17:41:00,2704096,36825,345
17:42:00,2704449,353,346
17:43:00,2704449,0,347
17:44:00,2704449,0,348
17:45:00,2704449,0,349
17:46:00,2729613,25164,350
17:47:00,2729613,0,351
17:48:00,2729613,0,352
17:49:00,2729613,0,353
17:50:00,2729613,0,354
17:51:00,2760643,31030,355
17:52:00,2760643,0,356
17:53:00,2760643,0,357
17:54:00,2760643,0,358
17:55:00,2760643,0,359
17:56:00,2771831,11188,360
17:57:00,2771831,0,361
17:58:00,2771831,0,362
17:59:00,2771831,0,363
18:00:00,2771831,0,364
18:01:00,2791845,20014,365
18:02:00,2792188,343,366
18:03:00,2792188,0,367
18:04:00,2792188,0,368
18:05:00,2792188,0,369
18:06:00,2798415,6227,370
18:07:00,2798469,54,371
18:08:00,2798469,0,372
18:09:00,2798469,0,373
18:10:00,2798469,0,374
18:11:00,2822319,23850,375
18:12:00,2822319,0,376
18:13:00,2822319,0,377
18:14:00,2822319,0,378
18:15:00,2822319,0,379
18:16:00,2845276,22957,380
18:17:00,2845276,0,381
18:18:00,2845276,0,382
18:19:00,2845276,0,383
18:20:00,2845276,0,384
18:21:00,2869838,24562,385
18:22:00,2869838,0,386
18:23:00,2869838,0,387
18:24:00,2869838,0,388
18:25:00,2869838,0,389
18:26:00,2880978,11140,390
18:27:00,2880978,0,391
18:28:00,2880978,0,392
18:29:00,2880978,0,393
18:30:00,2880978,0,394
18:31:00,2896442,15464,395
18:32:00,2896492,50,396
18:33:00,2896492,0,397
18:34:00,2896492,0,398
18:35:00,2896492,0,399
18:36:00,2905807,9315,400
18:37:00,2905807,0,401
18:38:00,2905807,0,402
18:39:00,2905807,0,403
18:40:00,2905807,0,404
18:41:00,2917660,11853,405
18:42:00,2918416,756,406
18:43:00,2918416,0,407
18:44:00,2918416,0,408
18:45:00,2918416,0,409
18:46:00,2933452,15036,410
18:47:00,2933452,0,411
18:48:00,2933452,0,412
18:49:00,2933452,0,413
